,param_0,param_1,sigma,S,f,ef,r,alpha,NPV_ent,n_firms,Pr_mean,EP,C_mean,C_max,Sigma2,n_entr,n_ext
37,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.04355936756688196,16,0.004537480481189213,0.0004397617728657908,0.23075989361750315,0.2621584360592618,0.3162310165488917,1,1
38,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.0018077219263736965,16,0.004505463951219922,0.0010479057303083104,0.23329910995566883,0.2829686485655669,0.3184880977383723,1,1
39,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.05448884922122642,17,0.004148522063109091,0.0009606023048740562,0.23795322145736605,0.29279911871498837,0.31816867183027486,1,0
40,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.05042668768823737,16,0.0032213622014399313,0.001075051054077911,0.23341050314220804,0.2690354845782613,0.3185871139041849,2,3
41,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.1043926811468693,14,0.005131605216595161,0.0010092024443918522,0.22096762777972515,0.24282900757081563,0.3183466743072595,3,5
42,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.0014769652104989605,15,0.007185020643318076,0.0008928681752227528,0.22697578603362825,0.27222957226701305,0.31791981120614254,1,0
43,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.05266239033214477,14,0.0065261997367125416,0.0011865777266148268,0.22170563538454444,0.24282900757081563,0.3189924309614764,2,3
44,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.12526636298796226,14,0.007786104550883367,0.0005296348626137402,0.21893644925947103,0.23811176137333606,0.31656939310203713,2,2
45,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.026902867668581285,15,0.007336202632635601,0.0007230643743088103,0.22626414531829617,0.2705864003949716,0.3172918929279084,1,0
46,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.0011020590720035705,16,0.005443664720225645,0.0006008907291648411,0.23144101452001847,0.2705864003949716,0.31683645735112753,1,0
47,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.05273208469782538,15,0.005526080671113487,0.0011535461555067603,0.22805565211614917,0.26717189555640014,0.3188726342201317,1,2
